Time,Ask,Bid,Volume,Spread
2026-03-17 00:01:00,2341,96,2341,86,0,01,0,09999999999990905
2026-03-17 00:02:00,2342,87,2342,77,0,01,0,09999999999990905
2026-03-17 00:03:00,2342,67,2342,57,0,01,0,09999999999990905
2026-03-17 00:04:00,2343,98,2343,88,0,01,0,09999999999990905
2026-03-17 00:05:00,2342,33,2342,23,0,01,0,09999999999990905
2026-03-17 00:06:00,2343,75,2343,65,0,01,0,09999999999990905
2026-03-17 00:07:00,2347,64,2347,54,0,01,0,09999999999990905
2026-03-17 00:08:00,2349,5899999999997,2349,49,0,01,0,09999999999990905
2026-03-17 00:09:00,2348,2999999999997,2348,2,0,01,0,09999999999990905
2026-03-17 00:10:00,2347,96,2347,86,0,01,0,09999999999990905
2026-03-17 00:11:00,2355,7799999999997,2355,68,0,01,0,09999999999990905
2026-03-17 00:12:00,2355,5899999999997,2355,49,0,01,0,09999999999990905
2026-03-17 00:13:00,2359,48,2359,38,0,01,0,09999999999990905
2026-03-17 00:14:00,2371,23,2371,13,0,01,0,09999999999990905
2026-03-17 00:15:00,2366,99,2366,89,0,01,0,09999999999990905
2026-03-17 00:16:00,2372,5099999999998,2372,41,0,01,0,09999999999990905
2026-03-17 00:17:00,2373,44,2373,34,0,01,0,09999999999990905
2026-03-17 00:18:00,2362,23,2362,13,0,01,0,09999999999990905
2026-03-17 00:19:00,2365,2,2365,1,0,01,0,09999999999990905
2026-03-17 00:20:00,2363,12,2363,02,0,01,0,09999999999990905
2026-03-17 00:21:00,2359,44,2359,34,0,01,0,09999999999990905
2026-03-17 00:22:00,2358,06,2357,96,0,01,0,09999999999990905
2026-03-17 00:23:00,2355,56,2355,46,0,01,0,09999999999990905
2026-03-17 00:24:00,2349,96,2349,86,0,01,0,09999999999990905
2026-03-17 00:25:00,2345,41,2345,31,0,01,0,09999999999990905
2026-03-17 00:26:00,2342,29,2342,19,0,01,0,09999999999990905
2026-03-17 00:27:00,2346,44,2346,34,0,01,0,09999999999990905
2026-03-17 00:28:00,2347,16,2347,06,0,01,0,09999999999990905
2026-03-17 00:29:00,2349,29,2349,19,0,01,0,09999999999990905
2026-03-17 00:30:00,2353,22,2353,12,0,01,0,09999999999990905
2026-03-17 00:31:00,2360,68,2360,58,0,01,0,09999999999990905
2026-03-17 00:32:00,2363,18,2363,08,0,01,0,09999999999990905
2026-03-17 00:33:00,2362,2799999999997,2362,18,0,01,0,09999999999990905
2026-03-17 00:34:00,2359,14,2359,04,0,01,0,09999999999990905
2026-03-17 00:35:00,2363,0699999999997,2362,97,0,01,0,09999999999990905
2026-03-17 00:36:00,2361,91,2361,81,0,01,0,09999999999990905
2026-03-17 00:37:00,2362,58,2362,48,0,01,0,09999999999990905
2026-03-17 00:38:00,2359,95,2359,85,0,01,0,09999999999990905
2026-03-17 00:39:00,2357,48,2357,38,0,01,0,09999999999990905
2026-03-17 00:40:00,2351,5,2351,4,0,01,0,09999999999990905
2026-03-17 00:41:00,2349,56,2349,46,0,01,0,09999999999990905
2026-03-17 00:42:00,2349,4,2349,3,0,01,0,09999999999990905
2026-03-17 00:43:00,2350,0899999999997,2349,99,0,01,0,09999999999990905
2026-03-17 00:44:00,2352,42,2352,32,0,01,0,09999999999990905
2026-03-17 00:45:00,2353,11,2353,01,0,01,0,09999999999990905
2026-03-17 00:46:00,2354,0499999999997,2353,95,0,01,0,09999999999990905
2026-03-17 00:47:00,2353,63,2353,53,0,01,0,09999999999990905
2026-03-17 00:48:00,2354,35,2354,25,0,01,0,09999999999990905
2026-03-17 00:49:00,2353,35,2353,25,0,01,0,09999999999990905
2026-03-17 00:50:00,2349,7,2349,6,0,01,0,09999999999990905
2026-03-17 00:51:00,2346,95,2346,85,0,01,0,09999999999990905
2026-03-17 00:52:00,2346,56,2346,46,0,01,0,09999999999990905
2026-03-17 00:53:00,2347,9,2347,8,0,01,0,09999999999990905
2026-03-17 00:54:00,2348,06,2347,96,0,01,0,09999999999990905
2026-03-17 00:55:00,2349,97,2349,87,0,01,0,09999999999990905
2026-03-17 00:56:00,2348,04,2347,94,0,01,0,09999999999990905
2026-03-17 00:57:00,2349,73,2349,63,0,01,0,09999999999990905
2026-03-17 00:58:00,2351,45,2351,35,0,01,0,09999999999990905
2026-03-17 00:59:00,2353,22,2353,12,0,01,0,09999999999990905
2026-03-17 01:00:00,2357,15,2357,05,0,01,0,09999999999990905
2026-03-17 01:01:00,2356,3199999999997,2356,22,0,01,0,09999999999990905
2026-03-17 01:02:00,2353,16,2353,06,0,01,0,09999999999990905
2026-03-17 01:03:00,2352,0499999999997,2351,95,0,01,0,09999999999990905
2026-03-17 01:04:00,2349,02,2348,92,0,01,0,09999999999990905
2026-03-17 01:05:00,2349,37,2349,27,0,01,0,09999999999990905
2026-03-17 01:06:00,2350,79,2350,69,0,01,0,09999999999990905
2026-03-17 01:07:00,2351,86,2351,76,0,01,0,09999999999990905
2026-03-17 01:08:00,2355,0099999999998,2354,91,0,01,0,09999999999990905
2026-03-17 01:09:00,2356,48,2356,38,0,01,0,09999999999990905
2026-03-17 01:10:00,2358,81,2358,71,0,01,0,09999999999990905
